icao_airl_code,perf_type,deviation_code,mel_dx_remark,mel_ofp_remark,p_tow,p_enrte_wt,p_lw,p_tcap,unit_weight,p_perf_corr,p_altitude,unit_vertical,p_speed_knots,p_speed_mach,unit_speed,p_etops_circles,unit_etops_circles,p_etops_critfuel_dc,p_etops_critfuel_dx,item_10a,item10_b,item18_rnav,item18_rnp,tcas,fms,landing_ep,ats_service_type,other_eq,auto_land_down,ils_down,aos_action,gls_down,rnp_precision_down,aime,eff_from,eff_till,action
HVN,87967,CDL57-31-01X2,"BOTH MUST BE REMOVED. ALL WIRES MUST BE CAPPED AND STOWED AND WINGTIP REAR POSITION LIGHTS MUST BE CONSIDERED INOPERATIVE. FOR OPERATIONS WITH WING TIPS REMOVED, THE FOUR TRAILING TYPE ISCHARGERS (CDL ITEM 23-61-01) ON EACH WING JUST INBOARD OF THE REMOVABLE TIP MAY NOT BE MISSING. THE AIRPLANE MUST BE DISPATCHED USING MEL ITEM 33-43-01.",REMOVABLE WING TIP.,43091,4717,9774,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-43-01,"UP TO TWO SEALS ON EACH WING MAY BE MISSING. PROHIBITED LOCATIONS: SLAT 5 & 8 (INBOARD), SLAT 6 & 7 (OUTBOARD). MANUALLY ENSURE: REDUCE PERFORMANCE LIMITED WEIGHTS FOR EACH MISSING SEAL BY: TAKE-OFF: 136XN KG. ENROUTE: 113XN KG. N: NUMBER OF MISSING SEALS",SLAT SPANWISE FLOW SEAL.,0,0,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,a,,,,,,INSERT
HVN,87967,CDL57-43-02,ONE PER WING MAY BE MISSING. SEALS ON SLATS 5 AND 8 MAY NOT BE MISSING. THE TWO MOST OUTBOARD SEALS AND THE MOST OUTBOARD TWO FEET OF THE THIRD MOST OUTBOARD SEAL ON SLATS 6 AND 7 MAY NOT BE MISSING. SEALS MAY NOT BE MISSING IN COMBINATION WITH CDL ITEMS 57-43-03 OR 57-43-04 ON THE SAME SLAT. *REDUCE PERFORMANCE LIMITED WEIGHTS FOR EACH FOOT OF MISSING SEAL BY,SLAT SPANWISE BULB SEAL. ,159,136,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-43-03,"UP TO TWENTY MAY BE MISSING. PANELS ON SLATS 5 AND 8, AND THE OUTBOARD PANEL ON SLATS 6 AND 7 MAY NOT BE MISSING. PANELS MAY NOT BE MISSING IN COMBINATION WITH CDL ITEM 57-43-02 ON THE SAME SLAT. *REDUCE PERFORMANCE LIMITED WEIGHTS FOR ANY NUMBER MISSING",SLAT TRACK FAIRING PANEL . ,68,0,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-43-04,"UP TO SEVEN SEALS PER WING MAY BE MISSING. SEALS MAY NOT BE MISSING IN COMBINATION WITH CDL ITEM 57-43-02 ON THE SAME SLAT. SEALS ON SLATS 5 AND 8 MAY NOT BE MISSING. THE THREE OUTBOARD SEALS ON SLATS 6 AND 7 MAY NOT BE MISSING, AND THE MOST INBOARD SEAL ON SLATS 4 AND 9 MAY NOT BE MISSING. *FOR +3 SEALS MISSING, REDUCE THE PERFORMANCE LIMITED",SLAT SPANWISE LOWER FLEXIBLE SEAL . ,295,249,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-43-05,ANY NUMBER MAY BE MISSING. THE INBOARD SLAT END SEALS ON SLATS 5 AND 8 AND THE OUTBOARD SLAT SEALS ON SLATS 6 AND 7 ARE NOT ALLOWED TO BE MISSING. MANUALLY ENSURE: REDUCE PERFORMANCE LIMITED WEIGHTS FOR EACH MISSING SEAL BY: TAKE-OFF: 295XN KG. ENROUTE: 272XN KG. N: NUMBER OF MISSING SEALS,SLAT END SEALS .,0,0,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,a,,,,,,INSERT
HVN,87967,CDL57-51-21,UP TO SIX SEALS MAY BE MISSING. THE MOST INBOARD SEAL ON EACH WING MAY NOT BE MISSING. THE SIX SEALS ON THE WING INBOARD FIXED TRAILING EDGE MAY NOT BE MISSING. MANUALLY ENSURE: REDUCE PERFORMANCE LIMITED WEIGHTS FOR EACH MISSING SEAL BY: TAKE-OFF: 113XN KG. ENROUTE: 113XN KG. N: NUMBER OF MISSING SEALS. N<6,WING MIDSPAN FIXED TRAILING EDGE FLEX PANEL HINGE SEALS. ,0,0,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,a,,,,,,INSERT
HVN,87967,CDL57-51-22,"UP TO 26 SEALS MAY BE MISSING. THE THREE MOST INBOARD MIDSPAN FLEX PANEL END SEALS MAY NOT BE MISSING *FOR EIGHT OR MORE MISSING SEALS, REDUCE PERFORMANCE LIMITED WEIGHTS.",AUTOMATIC DEPENDENT SURVEILLANCE-BROADCAST (ADS-B) SYSTEM.,159,159,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-23,SIX MAY BE MISSING. THE MOST INBOARD MIDSPAN LOWER FLAP SEAL (MIDSPAN IS THE AREA OUTBOARD OF THE FLAPERON TO THE OUTBOARD END OF THE OUTBOARD FLAP) MAY NOT BE MISSING. MANUALLY ENSURE: REDUCE PERFORMANCE LIMITED WEIGHTS FOR EACH MISSING SEAL BY: TAKE-OFF: 771XN KG. ENROUTE: 680XN KG. N: NUMBER OF MISSING SEALS. N<6,WING MIDSPAN FIXED TRAILING EDGE LOWER FLAP SEALS. ,0,0,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,a,,,,,,INSERT
HVN,87967,CDL57-51-24X1,"ONE PER WING MAY BE MISSING. THE TWO MOST INBOARD PANELS ON EACH WING MAY NOT BE MISSING. ON THE MISC SYSTEM CTRLS (MSC) MAINTENANCE PAGE, SET THE OVERSPEED WARNING SWITCH TO GEAR DOWN. LIMIT SPEED TO 270 KIAS, 0.73 MACH. DO NOT APPLY LANDING GEAR EXTENDED PERFORMANCE PENALTIES *1 PANEL MISSING. REDUCE PERFORMANCE LIMITED WEIGHTS",WING MIDSPAN FIXED TRAILING EDGE LOWER REMOVABLE PANELS.,862,771,0,0,KG,0,0,FF,270,0.73,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
